A A Mamun : professor, nuclear physicist, biochemist
Richard Grieco : actres, fictional scientist, short story writer
Richard Griffith (chess player) : playwright, autobiographer, biographer
Richard Griffiths : musical theatre actor, radio actor, fictional scientist
Richard Grove : social sciences writer, autobiographer, cultural anthropologist
Richard Gutierrez : comedian, film actress, television actress
Richard Gwyn : autobiographer, biographer, memoirist
Richard H. Blake : musical theatre actor, musical theatre actress, actres
Richard H. Jackson (geographer) : president, intellectual historian, educator
Richard H. Steckel : economic historian, social sciences writer, sociologist
Richard H. Stern : legal scholar, entrepreneur, social sciences writer
Richard H. Tedford : paleontologist, pseudoscientist, geologist
Richard H. Tomlinson : inventor, cognitive scientist, medical researcher
Richard H. Wilhelm : chemical engineer, national academy, physical chemist
Richard H. Wilkinson : egyptologist, archaeologist, anthropologist
Richard Hamilton (actor) : musical theatre actor, actres, novelist
Richard Hamming : pseudoscientist, systems scientist, science writer
Richard Hammond : fictional scientist, autobiographer, record producer
Richard Harold Steinberg : international relations scholar, legal scholar, political scientist
Richard Harris : autobiographer, producer, fictional scientist
Richard Harrison (actor) : fictional scientist, producer, autobiographer
Richard Hart (actor) : short story writer, playwright, actres
Richard Hartshorne : geographer, intellectual historian, philosopher
Richard Haydn : fictional scientist, musical theatre actor, actres
Richard Heinberg : social sciences writer, economics writer, autobiographer
Richard Henry Cummings : short story writer, autobiographer, essayist
Richard Henry Dana, Jr. : autobiographer, short story writer, memoirist
Richard Henry Walthew : composer, pianist, conductor
Richard Herrnstein : cognitive scientist, psychologist, social sciences writer
Richard Hieram Sankey : army officer, autobiographer, soldier
Richard Higgott : international relations scholar, president, social sciences writer
Richard Hofstadter : social sciences writer, short story writer, autobiographer
Richard Holmes (military historian) : army officer, military historian, army general
Richard Howard : essayist, novelist, short story writer
Richard Hyrde : biographer, autobiographer, novelist
Richard Ieyoub : governor, autobiographer, marine
Richard Indreko : philologist, geographer, ethnographer
Richard Isay : psychologist, psychoanalyst, social sciences writer
Richard J. Finlay : international relations scholar, publisher, autobiographer
Richard J. Saykally : physical chemist, chemist, physicist
Richard J. Simpson : medical researcher, geneticist, evolutionary biologist
Richard J. Ussher : zoologist, ornithologist, geologist
Richard J. Wood : short story writer, serial killer, essayist
Richard Jackson (colonial agent) : royal navy admiral, army officer, autobiographer
Richard Jaeckel : actres, fictional scientist, producer
Richard James (scholar) : antiquarian, autobiographer, biographer
Richard Jay-Alexander : musical theatre actor, musical theatre actress, producer
Richard Jeffrey : cognitive scientist, philosopher, logician
Richard Jeni : autobiographer, short story writer, producer
Richard Jenkins : actres, short story writer, novelist
Richard Jenkins (British engineer) : aviator, fictional scientist, autobiographer
Richard John Sutton : professor, philanthropist, lawyer
Richard John Walters : video game actor, fictional scientist, actres
Richard Johnsonbaugh : statistician, molecular biologist, econometrician
Richard K. Spottswood : songwriter, guitarist, folklorist
Richard K. Webel : landscape architect, landscape or garden designer, horticulturists and gardener
Richard K. Yamamoto : theoretical physicist, nuclear physicist, physicist
Richard Keith Sprigg : orientalist, cognitive scientist, linguist
Richard Kendall Brooke : autobiographer, biographer, memoirist
Richard Knabb : meteorologist, short story writer, autobiographer
Richard L. Abrams : physicist, chemist, pseudoscientist
Richard L. Huganir : neuroscientist, biochemist, physiologist
Richard L. Jensen : leader, essayist, intellectual historian
Richard L. Sandor : founder, social sciences writer, economics writer
Richard L. Schmalensee : economist, social sciences writer, economics writer
Richard Laurence : hebraist, orientalist, theologian
Richard Laurence Millington Synge : biochemist, physical chemist, chemist
Richard Lawson (actor) : video game actor, actres, fictional scientist
Richard Leakey : paleontologist, fictional scientist, autobiographer
Richard Lederer : novelist, short story writer, essayist
Richard Lenski : cognitive scientist, pseudoscientist, sociologist
Richard Lerner : cognitive scientist, biochemist, medical researcher
Richard Leslie Hill : explorer, autobiographer, geographer
Richard Lewontin : cognitive scientist, evolutionary biologist, geneticist
Richard Libertini : radio actor, fictional scientist, short story writer
Richard Lobban : explorer, founder, archaeologist
Richard Long (actor) : short story writer, autobiographer, novelist
Richard Loo : autobiographer, actres, short story writer
Richard Losick : geneticist, biochemist, microbiologist
Richard Lower (physician) : medical doctor, physiologist, physician
Richard Lund : autobiographer, stage actress, silent film actress
Richard Lupino : short story writer, musical theatre actor, comedian
Richard M. Dolan : pseudoscientist, fictional scientist, novelist
Richard M. Dudley : statistician, systems scientist, cognitive scientist
Richard M. Karp : systems scientist, computer scientist, mathematician
Richard M. Lerner : cognitive scientist, national academy, psychologist
Richard M. Upjohn : ecclesiastical architect, architect, landscape architect
Richard M. Weaver : autobiographer, essayist, short story writer
Richard M. Weiner : nuclear physicist, sociologist, psychologist
Richard MacPherson : video game actor, television, producer
Richard Marceau : autobiographer, memoirist, diarist
Richard Marcus : video game actor, fictional scientist, producer
Richard Marner : autobiographer, short story writer, fictional scientist
Richard Martin West : discoverer, autobiographer, novelist
Richard Maurice : autobiographer, memoirist, biographer
Richard Maynard (actor) : actres, musical theatre actor, producer
Richard McGonagle : fictional scientist, video game actor, voice actor
Richard McNally : psychologist, cognitive scientist, psychiatrist
Richard Meikle : radio actor, musical theatre actor, fictional scientist
Richard Meinertzhagen : autobiographer, biographer, memoirist
Richard Milton Martin : philosopher, cognitive scientist, logician
Richard Moll : fictional scientist, short story writer, actres
Richard Monckton Milnes, 1st Baron Houghton : biographer, memoirist, autobiographer
Richard Monette : playwright, autobiographer, novelist
Richard Montague : philosopher, cognitive scientist, autobiographer
Richard Moore (actor) : radio actor, soap opera actor, musical theatre actor
Richard Morris (archaeologist) : autobiographer, biographer, diarist
Richard Mulcaster : autobiographer, biographer, philosopher
Richard Muspratt : chemist, autobiographer, memoirist
Richard Muth : systems scientist, business theorist, econometrician
Richard Neill : actres, radio actor, musical theatre actor
Richard Ney : autobiographer, memoirist, biographer
Richard Ng : actres, film actor, producer
Richard Nicholls Worth : autobiographer, antiquarian, medical doctor
Richard Norris Wolfenden : medical doctor, physician, cognitive scientist
Richard Norton (actor) : fictional scientist, video game actor, producer
Richard O'Brien : playwright, musical theatre actor, fictional scientist
Richard O'Callaghan : radio actor, musical theatre actor, musical theatre actress
Richard Ofshe : autobiographer, psychologist, memoirist
Richard Olaf Winstedt : orientalist, prime minister, social sciences writer
Richard Oliver Heslop : songwriter, publisher, autobiographer
Richard Orr : playwright, producer, autobiographer
Richard Owen (geologist) : autobiographer, short story writer, memoirist
Richard P. Howard : autobiographer, memoirist, diarist
Richard P. Lifton : molecular biologist, biochemist, geneticist
Richard P. Turco : national academy, social sciences writer, communication scholar
Richard Pacheco : autobiographer, novelist, essayist
Richard Parker (economist) : social sciences writer, economics writer, economic historian
Richard Payne Knight : short story writer, autobiographer, memoirist
Richard Pearson (actor) : autobiographer, actres, playwright
Richard Pearson (physician) : medical doctor, physician, pseudoscientist
Richard Peet : social sciences writer, economics writer, geographer
Richard Penn (actor) : actres, producer, musical theatre actor
Richard Peto : medical researcher, psychologist, geneticist
Richard Phillips (chemist) : medical doctor, physician, physiologist
Richard Phipson : ecclesiastical architect, horticulturists and gardener, landscape or garden designer
Richard Popkin : philosopher, theologian, pseudoscientist
Richard Popplewell Pullan : landscape or garden designer, landscape architect, horticulturists and gardener
Richard Portnow : musical theatre actor, playwright, producer
Richard Posner : legal scholar, philosopher, autobiographer
Richard Preston : fictional scientist, autobiographer, short story writer
Richard Pribram : physiologist, chemist, physicist
Richard Pryor : autobiographer, songwriter, producer
Richard Q. Twiss : national academy, physicist, astronomer
Richard Quine : actres, producer, autobiographer
Richard Quinney : short story writer, autobiographer, essayist
Richard R. Schrock : chemist, physical chemist, cognitive scientist
